Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-06-17,20.0,26.2,22.4,89.0,30.2,2.9,3.0,320.0,0.0,N 
2014-06-18,19.0,26.4,21.9,86.0,2.7,3.2,3.0,320.0,1.0,NW
2014-06-19,18.0,24.6,21.2,90.0,9.6,4.8,2.0,330.0,0.0,N 
2014-06-20,19.0,27.8,22.9,82.0,0.0,0.1,2.0,300.0,1.0,N 
2014-06-21,19.0,27.5,21.7,87.0,0.5,6.3,2.0,330.0,1.0,N 
2014-06-22,19.0,27.4,22.0,86.0,10.2,3.0,3.0,330.0,0.0,N 
2014-06-23,19.0,27.0,22.3,86.0,4.7,5.9,3.0,330.0,1.0,N 
2014-06-24,19.0,27.4,22.5,83.0,0.0,4.0,2.0,130.0,0.0,N 
2014-06-25,19.0,26.3,21.6,91.0,0.0,2.1,2.0,330.0,0.0,N 
2014-06-26,19.0,24.4,21.3,92.0,16.4,0.3,2.0,320.0,0.0,N 
2014-06-27,18.0,24.3,20.6,92.0,1.0,0.4,2.0,330.0,1.0,N 
2014-06-28,18.0,24.8,21.1,87.0,0.0,0.0,2.0,280.0,0.0,N 
2014-06-29,18.0,25.6,21.7,84.0,0.0,1.1,2.0,290.0,0.0,N 
2014-06-30,18.0,27.8,21.6,77.0,0.0,2.7,2.0,310.0,0.0,N 
2014-07-01,17.0,26.3,21.2,79.0,0.0,3.4,2.0,300.0,0.0,N 
2014-07-02,18.0,24.6,20.6,88.0,0.0,7.0,1.0,320.0,0.0,N 
2014-07-03,17.0,26.8,21.5,79.0,1.2,0.8,3.0,330.0,1.0,N 
2014-07-04,17.0,27.0,22.0,81.0,0.0,5.1,2.0,340.0,0.0,N 
2014-07-05,19.0,25.5,21.6,90.0,0.0,5.2,2.0,190.0,0.0,N 
2014-07-06,19.0,25.2,21.4,92.0,34.5,1.6,2.0,320.0,0.0,N 
2014-07-07,18.0,24.3,20.7,90.0,1.5,1.3,1.0,350.0,0.0,N 
2014-07-08,19.0,23.6,21.0,90.0,0.6,1.4,2.0,320.0,0.0,N 
2014-07-09,19.0,25.8,21.7,88.0,17.5,0.0,3.0,320.0,0.0,N 
2014-07-10,19.0,26.0,22.0,89.0,2.6,2.4,3.0,340.0,0.0,N 
2014-07-11,18.0,25.2,20.8,93.0,7.2,3.5,2.0,310.0,0.0,N 
2014-07-12,18.0,24.2,20.6,94.0,6.5,3.6,3.0,110.0,0.0,N 
2014-07-13,19.0,21.3,19.2,97.0,54.7,1.2,4.0,210.0,1.0,N 
2014-07-14,18.0,27.0,23.3,63.0,23.6,0.0,3.0,330.0,1.0,SE
2014-07-15,18.0,27.3,22.2,77.0,0.0,9.3,3.0,310.0,1.0,N 
2014-07-16,17.0,26.8,21.5,82.0,0.0,8.5,2.0,340.0,1.0,N 
2014-07-17,19.0,27.2,21.9,78.0,0.0,6.8,3.0,270.0,1.0,N 
2014-07-18,17.0,28.0,21.6,85.0,0.0,6.9,3.0,270.0,1.0,N 
2014-07-19,18.0,26.0,21.6,84.0,0.0,7.4,3.0,210.0,1.0,N 
2014-07-20,18.0,25.8,20.7,92.0,70.5,5.4,3.0,300.0,1.0,N 
2014-07-21,18.0,26.0,20.9,90.0,54.5,5.5,2.0,300.0,0.0,N 
2014-07-22,18.0,27.2,22.2,86.0,0.6,5.4,3.0,330.0,1.0,N 
2014-07-23,19.0,25.4,20.9,88.0,0.8,7.3,2.0,330.0,0.0,N 
2014-07-24,18.0,26.4,21.6,79.0,0.4,1.2,2.0,320.0,0.0,N 
2014-07-25,18.0,26.4,21.5,84.0,0.0,5.0,3.0,330.0,0.0,N 
2014-07-26,18.0,24.6,19.7,94.0,0.1,2.3,2.0,300.0,0.0,N 
2014-07-27,18.0,25.3,20.5,92.0,66.4,2.1,2.0,20.0,0.0,N 
2014-07-28,18.0,26.8,20.9,84.0,0.8,1.1,3.0,320.0,0.0,N 
2014-07-29,18.0,28.0,21.7,85.0,0.0,8.0,3.0,170.0,0.0,N 
2014-07-30,18.0,26.8,21.4,85.0,0.1,6.9,2.0,310.0,1.0,N 
2014-07-31,18.0,25.5,21.2,80.0,0.0,6.6,3.0,330.0,1.0,N 
2014-08-01,18.0,26.8,21.4,81.0,0.0,4.2,2.0,310.0,0.0,N 
2014-08-02,17.0,25.4,20.8,83.0,0.0,8.9,2.0,310.0,0.0,N 
2014-08-03,17.0,26.0,20.7,89.0,2.8,6.0,3.0,330.0,1.0,N 
2014-08-04,18.0,25.1,20.7,91.0,7.4,4.2,3.0,320.0,1.0,N 
2014-08-05,17.0,27.8,21.9,82.0,59.0,4.8,3.0,100.0,1.0,N 
2014-08-06,19.0,27.0,23.1,73.0,0.0,6.7,2.0,30.0,1.0,E 
2014-08-07,17.0,26.6,21.8,83.0,0.0,8.8,2.0,340.0,0.0,N 
2014-08-08,17.0,26.7,21.2,83.0,0.0,8.8,2.0,320.0,0.0,N 
2014-08-09,18.0,27.9,21.8,81.0,0.0,5.3,3.0,310.0,1.0,N 
2014-08-10,17.0,26.0,20.8,87.0,0.0,7.2,2.0,270.0,0.0,N 
