Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-04-02,23.0,32.2,25.7,88.0,13.0,6.5,7.0,360.0,2.0,NW
2014-04-03,23.0,33.4,26.5,84.0,3.8,7.1,5.0,45.0,2.0,NE
2014-04-04,24.0,32.4,26.4,84.0,0.3,4.8,4.0,315.0,2.0,NW
2014-04-05,24.0,32.6,25.9,87.0,0.6,7.3,5.0,360.0,2.0,NW
2014-04-06,24.0,31.0,25.9,86.0,169.1,5.9,4.0,315.0,3.0,SW
2014-04-07,22.0,32.2,25.4,86.0,6.7,6.0,4.0,315.0,3.0,NW
2014-04-08,23.0,33.2,27.4,80.0,0.0,5.1,4.0,135.0,2.0,NW
2014-04-09,23.0,32.7,25.9,84.0,0.0,6.8,3.0,270.0,2.0,SW
2014-04-10,23.0,30.3,25.6,84.0,1.5,2.5,5.0,225.0,3.0,SW
2014-04-11,24.0,31.4,26.1,83.0,1.4,5.2,5.0,315.0,2.0,NW
2014-04-12,23.0,31.8,26.8,81.0,1.6,4.6,4.0,315.0,2.0,W 
2014-04-13,23.0,31.6,25.9,83.0,0.0,4.6,10.0,270.0,2.0,W 
2014-04-14,23.0,30.8,25.2,88.0,1.3,4.2,6.0,270.0,2.0,W 
2014-04-15,23.0,32.6,26.6,81.0,6.6,4.1,6.5,270.0,2.0,NW
2014-04-16,23.0,32.0,25.9,84.0,0.0,4.9,7.0,225.0,2.0,SE
2014-04-17,22.0,32.8,26.0,85.0,10.6,5.9,11.0,270.0,2.0,W 
2014-04-18,23.0,32.3,25.7,86.0,61.7,4.7,3.0,315.0,2.0,NW
2014-04-19,23.0,32.3,26.4,88.0,52.1,5.6,6.0,270.0,2.0,NW
2014-04-20,22.0,32.0,25.6,84.0,11.4,6.4,4.0,270.0,2.0,SW
2014-04-21,24.0,32.1,26.5,87.0,0.7,3.8,3.0,315.0,2.0,NW
2014-04-22,23.0,32.7,25.8,86.0,4.5,5.9,10.0,360.0,2.0,NW
2014-04-23,22.0,33.0,25.7,86.0,30.0,6.9,4.0,315.0,2.0,NE
